City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Maryville,US,85.3,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
15,Hilo,US,79.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Sterling,US,86.25,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
17,Tautira,PF,77.4,light rain,-17.7333,-149.15,Pension Oaoa
18,Maragogi,BR,77.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
29,Koutsouras,GR,77.11,clear sky,35.0339,25.9469,The White Houses
30,Qandala,SO,88.61,scattered clouds,11.472,49.8728,
31,Tres Picos,MX,86.43,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
33,Vila Franca do Campo,PT,77.41,few clouds,37.7167,-25.4333,Pestana Bahia Praia
35,Butaritari,KI,82.22,broken clouds,3.0707,172.7902,Isles Sunset Lodge
39,Vilhena,BR,87.87,overcast clouds,-12.7406,-60.1458,Hotel Mirage
45,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Kharan,PK,85.73,clear sky,28.5833,65.4167,Dil Aram Bangla
51,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
53,Albany,US,78.67,overcast clouds,42.6001,-73.9662,
54,Avera,US,87.55,clear sky,33.194,-82.5271,
57,Makakilo City,US,79.99,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
58,Nísia Floresta,BR,83.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
60,Nānākuli,US,82.35,few clouds,21.3906,-158.1547,Camp Pālehua
61,Hong Kong,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
63,Touros,BR,80.56,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Kilinochchi,LK,79.18,overcast clouds,9.3961,80.3982,Solaivanam Guest House
68,Matara,LK,77.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
71,Camargo,MX,84.79,broken clouds,27.6667,-105.1667,Hotel Santa Fe
72,Cayenne,GF,89.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
75,Dondo,MZ,76.51,clear sky,-19.6094,34.7431,Pensao Casual
81,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
82,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Green leaf
87,Portland,US,78.04,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
88,Hasaki,JP,81.28,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
89,Tarancón,ES,76.12,overcast clouds,40.0085,-3.0073,Hostal La Estación
93,Kununurra,AU,76.98,few clouds,-15.7667,128.7333,Hotel Kununurra
96,Abnūb,EG,82.96,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
99,St. George's,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
